activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,False,False,False,False,False,False,False,False,False,False,876,Factor de modelo de ML,Factores de modelos de ML,False,False,False,MLModelFactor,True,True,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MLModelFactor/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/MLModelFactor/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/MLModelFactor/describe'), ('sobject', '/services/data/v57.0/sobjects/MLModelFactor')])"
False,,,False,False,False,False,False,False,False,False,False,False,877,Componente de Factor de modelo de ML,Componentes de Factores de modelos de ML,False,False,False,MLModelFactorComponent,True,True,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MLModelFactorComponent/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/MLModelFactorComponent/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/MLModelFactorComponent/describe'), ('sobject', '/services/data/v57.0/sobjects/MLModelFactorComponent')])"
False,,,False,False,False,False,False,False,False,False,False,False,874,Medición de modelo de ML,Mediciones de modelos de ML,False,False,False,MLModelMetric,True,True,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MLModelMetric/{ID}'), ('describe', '/services/data/v57.0/sobjects/MLModelMetric/describe'), ('sobject', '/services/data/v57.0/sobjects/MLModelMetric')])"
False,,,False,False,False,False,False,False,False,False,False,False,6gt,Definición de predicción de ML,Definiciones de predicciones de ML,False,False,False,MLPredictionDefinition,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MLPredictionDefinition/{ID}'), ('describe', '/services/data/v57.0/sobjects/MLPredictionDefinition/describe'), ('sobject', '/services/data/v57.0/sobjects/MLPredictionDefinition')])"
False,,,False,False,False,False,False,False,False,False,False,False,7gh,Definición de recomendación de ML,Definiciones de recomendaciones de ML,False,False,False,MLRecommendationDefinition,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MLRecommendationDefinition/{ID}'), ('describe', '/services/data/v57.0/sobjects/MLRecommendationDefinition/describe'), ('sobject', '/services/data/v57.0/sobjects/MLRecommendationDefinition')])"
False,,,True,False,False,False,True,False,False,False,False,False,0JZ,Macro,Macros,True,False,True,Macro,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Macro/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Macro/{ID}'), ('describe', '/services/data/v57.0/sobjects/Macro/describe'), ('layouts', '/services/data/v57.0/sobjects/Macro/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Macro')])"
False,ChangeEvent,Macro,False,False,False,False,False,False,False,False,False,False,,Evento de cambio de Macro,Evento de cambio de Macro,False,False,False,MacroChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MacroChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/MacroChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/MacroChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/MacroChangeEvent')])"
False,History,Macro,False,False,False,False,False,False,False,False,False,False,,Historial de macros,Historial de macros,False,False,False,MacroHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MacroHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/MacroHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/MacroHistory')])"
False,,,True,False,False,False,True,False,False,False,False,False,0Ji,Instrucción de macro,Instrucciones de macros,False,False,False,MacroInstruction,True,True,True,False,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MacroInstruction/{ID}'), ('describe', '/services/data/v57.0/sobjects/MacroInstruction/describe'), ('sobject', '/services/data/v57.0/sobjects/MacroInstruction')])"
False,ChangeEvent,MacroInstruction,False,False,False,False,False,False,False,False,False,False,,Evento de cambio de Instrucción de macro,Evento de cambio de Instrucción de macro,False,False,False,MacroInstructionChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MacroInstructionChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/MacroInstructionChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/MacroInstructionChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/MacroInstructionChangeEvent')])"
